,Sample.ID,name,core,x,y,Sampled.Date,Analysed.Date,time,Upper_Depth,Lower_Depth,Moisture..air.dried.sample,X15E1.CEC.cmol..kg,X15E1.Calcium..Amm.acet...cmol..kg,X15E1.Potassium..Amm.acet...cmol..kg,X15E1.Magnesium..Amm.acet...cmol..kg,X15E1.Sodium..Amm.acet...cmol..kg,X3A1.Electrical.Conductivity.1.dS.m,X4B2.pH..1.5.CaCl2,X4A1.pH..1.5.Water,X7A5.Total.Nitrogen..Combustion..,X6B2.Total.Organic.Carbon.Combustion..
171,NSC 55 5,1_NSC55_5_10,55,148.6875916,-34.473776,1/01/2019,9/06/2022,1,5,10,2.1,6.08,5.2,0.54,0.34,<0.02,0.07,6.5,7.2,0.08,0.95
174,NSC 58 10,1_NSC58_10_15,58,148.6842518,-34.47553528,1/01/2019,9/06/2022,1,10,15,0.26,4.94,4.5,0.29,0.15,<0.02,0.06,6.8,7.5,0.05,0.52
177,NSC 59 5,1_NSC59_5_10,59,148.6864941,-34.47442233,1/01/2019,9/06/2022,1,5,10,0.24,6.52,5.9,0.43,0.19,<0.02,0.08,7.1,7.7,0.07,0.71
180,NSC 59 10,1_NSC59_10_15,59,148.6864941,-34.47442233,1/01/2019,9/06/2022,1,10,15,0.23,2.68,2.2,0.38,0.1,<0.02,0.04,5.6,6.4,0.07,0.36
,,2_NSC01_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC03_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC03_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC04_10_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC04_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC06_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC07_10_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC07_15_20,,,,1/01/2023,,2,15,,,,,,,,,,,,
,,2_NSC08_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC08_15_20,,,,1/01/2023,,2,15,,,,,,,,,,,,
,,2_NSC09_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC10_1_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC15_10_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC16_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC17_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC17_10_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC17_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC18_15_20,,,,1/01/2023,,2,15,,,,,,,,,,,,
,,2_NSC20_15_20,,,,1/01/2023,,2,15,,,,,,,,,,,,
,,2_NSC21_10_15,,,,1/01/2023,,2,10,,,,,,,,,,,,
,,2_NSC21_15_20,,,,1/01/2023,,2,15,,,,,,,,,,,,
,,2_NSC21_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC22_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC23_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC24_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC24_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC25_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC26_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC27_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC28_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC30_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC33_0_5,,,,1/01/2023,,2,0,,,,,,,,,,,,
,,2_NSC33_5_10,,,,1/01/2023,,2,5,,,,,,,,,,,,
,,2_NSC35_15_20,,,,1/01/2023,,2,15,,,,,,,,,,,,
