name,core,location_x,location_y,sampling,Upper_Depth,Lower_Depth,EC_dSm,pH_CaCl2,pH_water,TN,TC,MC,CEC_NH4Ac_cmol.kg,Ca_NH4Ac_cmol.kg,K_NH4Ac_cmol.kg,Mg_NH4Ac_cmol.kg,Na_NH4Ac_cmol.kg,,
2_NSC40_10_15,40,148.6871256,-34.47388162,2023,10,15,0.01,6.2,6.9,0.0599,0.898,,,,,,,,
2_NSC40_15_20,40,148.6871256,-34.47388162,2023,15,20,0.01,4.6,5.5,0.0505,0.573,,,,,,,,
2_NSC41_0_5,41,148.6877746,-34.47313328,2023,0,5,0.03,6,6.8,0.0513,0.641,,,,,,,,
2_NSC41_15_20,41,148.6877746,-34.47313328,2023,15,20,0.01,5.5,6.7,0.0252,0.329,,,,,,,,
2_NSC43_0_5,43,148.6846028,-34.47458367,2023,0,5,0.02,5.9,6.9,0.0923,1.112,,,,,,,,
2_NSC44_0_5,44,148.6837923,-34.47488338,2023,0,5,0.01,5.4,6.7,0.0743,1.186,,,,,,,,
2_NSC45_10_15,45,148.6845872,-34.47489046,2023,10,15,0.02,5.9,6.8,0.0571,0.795,,,,,,,,
2_NSC45_5_10,45,148.6845872,-34.47489046,2023,5,10,0.02,5.7,6.7,0.0645,1.037,,,,,,,,
2_NSC46_10_15,46,148.6869661,-34.47407318,2023,10,15,0.02,5.8,6.9,0.0522,0.653,,,,,,,,
2_NSC49_0_5,49,148.6847412,-34.47496949,2023,0,5,0.02,5.9,6.9,0.1101,1.598,,,,,,,,
2_NSC50_5_10,50,148.6853223,-34.47516886,2023,5,10,0.02,5.9,7,0.0618,0.941,,,,,,,,
2_NSC51_0_5,51,148.6866646,-34.47423964,2023,0,5,0.02,6.1,6.9,0.0515,0.766,,,,,,,,
2_NSC52_15_20,52,148.6877886,-34.47382738,2023,15,20,0.01,6.2,7.4,0.0084,0.162,,,,,,,,
2_NSC52_5_10,52,148.6877886,-34.47382738,2023,5,10,0.02,6.1,7.2,0.0510,0.721,,,,,,,,
2_NSC53_5_10,53,148.6856926,-34.47463176,2023,5,10,0.01,6.2,7.3,0.0479,0.666,,,,,,,,
2_NSC58_10_15,58,148.6842518,-34.47553528,2023,10,15,0.01,5.4,6.9,0.0191,0.316,,,,,,,,
2_NSC59_10_15,59,148.6864941,-34.47442233,2023,10,15,0.02,5.8,7.1,0.0354,0.462,,,,,,,,
2_NSC59_5_10,59,148.6864941,-34.47442233,2023,5,10,0.01,5.6,6.8,0.0535,0.768,,,,,,,,
