sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	core	upper_depth_cm	lower_depth_cm	['Electrical_Conductivity_dSm']	pH_CaCl2	pH_water	['Total_Nitrogen_Combustion_%']	Total_Organic_Carbon_Combustion_%	['moisture_content']	CEC_NH4Ac_cmol_kg	Ca_NH4Ac_cmol_kg	K_NH4Ac_cmol_kg	Mg_NH4Ac_cmol_kg	Na_NH4Ac_cmol_kg
1_NSC25_30_35			soil metagenome	environmental soil	2019 agricultural soil core 25, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.4735227 S 148.6863453 E								25	30	35	0.02	5.2	6.6	<0.05	0.2	0.81	4.32	2.5	0.29	1.4	0.13
1_NSC26_5_10			soil metagenome	environmental soil	2019 agricultural soil core 26, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47320375 S 148.6865893 E								26	5	10	0.06	6.5	7.1	0.08	0.72	0.58	4.87	4.2	0.35	0.32	<0.02
1_NSC26_20_25			soil metagenome	environmental soil	2019 agricultural soil core 26, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47320375 S 148.6865893 E								26	20	25	0.02	5.1	6.1	<0.05	0.26	0.58	2.562	1.9	0.29	0.35	0.022
1_NSC26_30_35			soil metagenome	environmental soil	2019 agricultural soil core 26, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47320375 S 148.6865893 E								26	30	35	0.02	5.4	6.4	<0.05	0.15	0.52	2.552	1.8	0.29	0.44	0.022
1_NSC26_35_40			soil metagenome	environmental soil	2019 agricultural soil core 26, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47320375 S 148.6865893 E								26	35	40	0.02	5.5	6.6	<0.05	0.2	0.54	3.321	2.3	0.35	0.64	0.031
1_NSC27_0_5			soil metagenome	environmental soil	2019 agricultural soil core 27, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47339951 S 148.6861251 E								27	0	5	0.14	6.4	7	0.13	1.12	0.74	6.738	5.5	0.47	0.69	0.078
1_NSC27_30_35			soil metagenome	environmental soil	2019 agricultural soil core 27, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47339951 S 148.6861251 E								27	30	35	0.03	6.2	7.3	<0.05	0.2	0.58	4.54	3.1	0.18	1.1	0.16
1_NSC27_45_50			soil metagenome	environmental soil	2019 agricultural soil core 27, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47339951 S 148.6861251 E								27	45	50	0.05	6.4	7.6	0.06	0.51	2.5	21.34	10	0.63	9.8	0.91
1_NSC28_5_10			soil metagenome	environmental soil	2019 agricultural soil core 28, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47468417 S 148.6838536 E								28	5	10	0.11	6.5	7.1	0.09	0.98	0.7	6.78	5.9	0.45	0.43	<0.02
1_NSC28_25_30			soil metagenome	environmental soil	2019 agricultural soil core 28, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47468417 S 148.6838536 E								28	25	30	0.01	5.1	6	<0.05	0.26	0.6	3.14	2.2	0.32	0.62	<0.02
1_NSC28_30_35			soil metagenome	environmental soil	2019 agricultural soil core 28, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47468417 S 148.6838536 E								28	30	35	0.02	5.4	6.4	<0.05	0.31	0.69	3.81	2.6	0.38	0.83	<0.02
1_NSC29_5_10			soil metagenome	environmental soil	2019 agricultural soil core 29, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47454565 S 148.6840903 E								29	5	10	0.12	7.3	7.9	0.12	1.06	0.8	10.12	8.8	0.79	0.53	<0.02
1_NSC29_20_25			soil metagenome	environmental soil	2019 agricultural soil core 29, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47454565 S 148.6840903 E								29	20	25	0.03	5.4	6.4	0.05	0.33	0.62	3.43	2.5	0.39	0.54	<0.02
1_NSC29_45_50			soil metagenome	environmental soil	2019 agricultural soil core 29, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47454565 S 148.6840903 E								29	45	50	0.04	5.9	6.8	<0.05	0.23	1.1	6.65	4.4	0.65	1.6	<0.02
1_NSC30_0_5			soil metagenome	environmental soil	2019 agricultural soil core 30, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47428859 S 148.6837694 E								30	0	5	0.08	6.7	7.4	0.08	0.73	0.9	5.98	5.2	0.41	0.37	<0.02
1_NSC30_15_20			soil metagenome	environmental soil	2019 agricultural soil core 30, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47428859 S 148.6837694 E								30	15	20	0.03	5	6	<0.05	0.35	1.4	2.34	1.8	0.28	0.26	<0.02
