sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
1_NSC07_10_15	CSIRO2019_1_NSC07_10_15	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC07 core  10-15 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC07_10_15_q15_len300_sup.fastq.gz							
1_NSC10_10_15	CSIRO2019_1_NSC10_10_15	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC10 core  10-15 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC10_10_15_q15_len300_sup.fastq.gz							
1_NSC15_10_15	CSIRO2019_1_NSC15_10_15	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC15 core  10-15 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC15_10_15_q15_len300_sup.fastq.gz							
1_NSC17_10_15	CSIRO2019_1_NSC17_10_15	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC17 core  10-15 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC17_10_15_q15_len300_sup.fastq.gz							
1_NSC21_10_15	CSIRO2019_1_NSC21_10_15	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC21 core  10-15 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC21_10_15_q15_len300_sup.fastq.gz							
1_NSC36_10_15	CSIRO2019_1_NSC36_10_15	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC36 core  10-15 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC36_10_15_q15_len300_sup.fastq.gz							
1_NSC38_10_15	CSIRO2019_1_NSC38_10_15	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC38 core  10-15 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC38_10_15_q15_len300_sup.fastq.gz							
1_NSC45_10_15	CSIRO2019_1_NSC45_10_15	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC45 core  10-15 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC45_10_15_q15_len300_sup.fastq.gz							
1_NSC46_10_15	CSIRO2019_1_NSC46_10_15	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC46 core  10-15 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC46_10_15_q15_len300_sup.fastq.gz							
1_NSC58_10_15	CSIRO2019_1_NSC58_10_15	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC58 core  10-15 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC58_10_15_q15_len300_sup.fastq.gz							
